Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
d661ce4da776fc20,c03520b5c88ed6b4,Merab Dvalishvili,Petr Yan,0,0,134,139,2,5,2,0,Bantamweight,U-DEC,5,5:00,bd92cf5da5413d2a,L,W,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell46 - 49.Eric Colon46 - 49.Derek Cleary47 - 48.,0.34,0.6,2,0,1,0,312,175,0.31,0.56,0.65,0.89,0.88,0.81,0.33,0.58,0.6,0.75,0,1.0,0.43,0.63,0.35,0.6
17e97649403ba428,a0f0004aadf10b71,Alexandre Pantoja,Joshua Van,0,0,6,2,0,0,0,0,Flyweight,KO/TKO,1,0:26,bd92cf5da5413d2a,L,W,5 Rnd (5-5-5-5-5),Herb Dean,"to   On Ground
      Arm injury to Pantoja",0.54,0.5,0,0,0,0,0,0,0.5,0.5,1.0,0,0.5,0,0.5,0.67,1.0,0.0,0,0,0.55,0.5,0.55,0.5
4461d7e47375a895,792be9a24df82ed6,Brandon Moreno,Tatsuro Taira,0,0,9,28,0,1,1,0,Flyweight,KO/TKO Punches,2,2:24,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Mark Smith,Punches to Head From Back Control,0.52,0.58,1,0,0,1,5,267,0.57,0.55,0.0,1.0,1.0,0.67,0.47,0.37,0,0.5,1.0,0.76,0.53,0.69,0.53,0.58
6e743a33d56bdaa4,056c493bbd76a918,Henry Cejudo,Payton Talbott,0,1,60,134,1,3,0,0,Bantamweight,U-DEC,3,5:00,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Chris Tognoni,Eric Colon27 - 30.Sal D'amato27 - 30.David Lethaby27 - 30.,0.51,0.61,0,0,0,0,159,211,0.4,0.53,0.83,0.87,0.81,1.0,0.49,0.54,0.7,0.9,1.0,0.89,0.57,0.65,0.52,0.62
99df7d0a2a08a8a8,ef5dcb10d2bd4b0f,Jan Blachowicz,Bogdan Guskov,1,1,84,80,0,0,1,0,Light Heavyweight,M-DEC,3,5:00,bd92cf5da5413d2a,D,D,3 Rnd (5-5-5),Jason Herzog,Junichiro Kamijo28 - 29.Chris Lee28 - 28.Ron McCarthy28 - 28.,0.56,0.57,1,0,0,0,8,249,0.5,0.54,0.65,0.67,0.85,0.9,0.55,0.54,0.67,0,0.73,0.64,0.58,0.61,0.56,0.57
2e7878927067fdca,99bd51917728c25d,Grant Dawson,Manuel Torres,0,1,8,9,0,0,0,0,Lightweight,KO/TKO Punch,1,2:25,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,0.38,0.52,0,0,0,0,0,4,0.31,0.42,0.5,0.8,0.5,0,0.38,0.67,0,0,0,0.2,0.38,0.53,0.38,0.53
fd406a32a6fb3a29,809bd1a871491508,Terrance McKinney,Chris Duncan,0,1,31,38,0,1,0,1,Lightweight,SUB Anaconda Choke,1,2:30,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Marc Goddard,Anaconda Choke On Ground,0.54,0.69,0,1,0,0,0,70,0.52,0.71,0.71,0.67,0,0.0,0.53,0.5,0.55,0.75,1.0,0.81,0.54,0.71,0.54,0.69
6a740daf1b279661,9d62c2d8ee151f08,Maycee Barber,Karine Silva,0,0,55,21,3,2,0,0,Women's Flyweight,U-DEC,3,5:00,bd92cf5da5413d2a,W,L,3 Rnd (5-5-5),Mark Smith,Sal D'amato27 - 30.Mike Bell28 - 29.Derek Cleary28 - 29.,0.64,0.46,0,0,1,1,380,208,0.62,0.27,0.57,0.8,0.83,0.9,0.58,0.5,0.0,0.25,0.78,0.44,0.68,0.66,0.65,0.47
1e4f273069fb9e85,ff62013d2fce6d13,Nazim Sadykhov,Fares Ziam,0,1,4,31,0,2,0,2,Lightweight,KO/TKO Punches,2,4:59,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Jason Herzog,Punches to Head On Ground,0.25,0.63,0,2,0,0,39,358,0.09,0.58,0,0.67,0.6,0.8,0.25,0.58,0,0.8,0,0.69,0.33,0.79,0.25,0.63
1e719d4b676dc19a,7acbb0972e75281a,Marvin Vettori,Brunno Ferreira,0,0,88,77,1,1,0,0,Middleweight,U-DEC,3,5:00,bd92cf5da5413d2a,L,W,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary28 - 29.Eric Colon28 - 29.Junichiro Kamijo28 - 29.,0.47,0.51,0,0,0,0,68,5,0.44,0.46,1.0,0.9,1.0,0.89,0.48,0.51,0.5,1.0,0.0,0.33,0.48,0.52,0.47,0.52
