,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
0,Tom,Aaron,,,155.0,,,5,3,0,
1,Danny,Abbadi,The Assassin,5.11,155.0,,Orthodox,4,6,0,
2,Nariman,Abbasov,Bayraktar,5.8,155.0,66.0,Orthodox,28,4,0,
3,Darion,Abbey,,6.2,265.0,80.0,Orthodox,9,5,0,
4,David,Abbott,Tank,6.0,265.0,,Switch,10,15,0,
5,Hamdy,Abdelwahab,The Hammer,6.2,264.0,72.0,Southpaw,6,1,0,
6,Mansur,Abdul-Malik,,6.2,185.0,80.0,Orthodox,8,0,1,
7,Shamil,Abdurakhimov,Abrek,6.3,235.0,76.0,Orthodox,20,8,0,
8,Hiroyuki,Abe,Abe Ani,5.6,145.0,,Orthodox,8,15,3,
9,Daichi,Abe,,5.11,170.0,71.0,Orthodox,6,2,0,
10,Papy,Abedi,Makambo,5.11,185.0,,Southpaw,10,4,0,
11,Ricardo,Abreu,Demente,5.11,185.0,,Orthodox,5,1,0,
12,Klidson,Abreu,White Bear,6.0,205.0,74.0,Orthodox,15,4,0,
13,Cyborg,Abreu,,,,,,0,0,0,
14,Daniel,Acacio,,5.8,180.0,,Orthodox,30,18,0,
15,John,Adajar,The Outlaw,5.9,170.0,75.0,Orthodox,6,2,0,
16,Scott,Adams,,6.0,225.0,,Southpaw,8,1,0,
17,Juan,Adams,The Kraken,6.5,265.0,80.0,Orthodox,5,3,0,
18,Anthony,Adams,Sugafoot,6.1,185.0,76.0,Orthodox,8,2,0,
19,Zarrukh,Adashev,The Lion,5.5,125.0,65.0,Southpaw,4,4,0,
20,Israel,Adesanya,The Last Stylebender,6.4,185.0,80.0,Switch,24,5,0,
21,Sam,Adkins,The Experience,6.3,225.0,,Orthodox,7,20,2,
22,Mohamed,Ado,,5.11,170.0,76.0,Switch,5,1,0,
23,Nick,Agallar,,5.8,155.0,,Orthodox,24,6,0,
24,Mariya,Agapova,Money Mashka,5.6,125.0,68.0,Southpaw,10,5,0,
25,Kantharaj,Agasa,Kannadiga,,135.0,,,12,3,0,
26,Marcelo,Aguiar,,5.1,170.0,,Orthodox,2,3,1,
27,Fabio,Aguiar,,6.0,185.0,,,17,1,0,
28,Edwin,Aguilar,Tigre,5.1,185.0,,,26,19,0,
29,Jessica,Aguilar,Jag,5.3,115.0,63.0,Orthodox,20,8,0,
30,Kevin,Aguilar,Angel of Death,5.7,155.0,73.0,Orthodox,17,5,0,
31,Jesus,Aguilar,,5.4,125.0,62.0,Orthodox,11,3,0,
32,Christian,Aguilera,The Beast,5.9,170.0,72.0,Switch,14,8,0,
33,Nick,Aguirre,Slick,5.9,135.0,74.0,Southpaw,7,2,0,
34,,Agulali,,5.9,125.0,67.0,Switch,13,2,0,
35,Ahejiang,Ailinuer,,,145.0,,,15,3,0,
36,Mike,Aina,Iron,5.9,155.0,,Orthodox,14,6,1,
37,Ashiek,Ajim,Peak Physique,5.8,135.0,71.0,Switch,6,2,0,
38,Hitomi,Akano,Girlfight Monster,5.4,135.0,,Southpaw,18,10,0,
39,Omari,Akhmedov,Wolverine,6.0,185.0,73.0,Orthodox,21,6,1,
40,Yoshihiro,Akiyama,,5.1,170.0,75.0,Orthodox,14,6,0,
41,Rostem,Akman,,5.1,170.0,72.0,Switch,6,2,0,
42,Razak,Al-Hassan,,6.2,205.0,,Orthodox,13,5,0,
